"","nburn","sigma","nleaps","epsilon","mse"
"1",0,"c(1, 0, 0, 1)",10,0.01,5.67704593898849
"2",1,"c(1, 0, 0, 1)",10,0.01,2.97242845586947
"3",3,"c(1, 0, 0, 1)",10,0.01,3.76818319631743
"4",5,"c(1, 0, 0, 1)",10,0.01,3.65900456377566
"5",0,"c(1, 0, 0, 1)",30,0.01,3.28755942857153
"6",1,"c(1, 0, 0, 1)",30,0.01,4.19009484977212
"7",3,"c(1, 0, 0, 1)",30,0.01,4.38245859169272
"8",5,"c(1, 0, 0, 1)",30,0.01,2.85670227805014
"9",0,"c(1, 0, 0, 1)",50,0.01,3.44769865901
"10",1,"c(1, 0, 0, 1)",50,0.01,4.19718378142607
"11",3,"c(1, 0, 0, 1)",50,0.01,3.89275370388141
"12",5,"c(1, 0, 0, 1)",50,0.01,1.72140723276126
"13",0,"c(1, 0, 0, 1)",10,0.1,4.05132589262315
"14",1,"c(1, 0, 0, 1)",10,0.1,3.60309973602971
"15",3,"c(1, 0, 0, 1)",10,0.1,3.55953861475068
"16",5,"c(1, 0, 0, 1)",10,0.1,3.65777780726368
"17",0,"c(1, 0, 0, 1)",30,0.1,1.7995484753486
"18",1,"c(1, 0, 0, 1)",30,0.1,3.71532376326241
"19",3,"c(1, 0, 0, 1)",30,0.1,4.37368873813362
"20",5,"c(1, 0, 0, 1)",30,0.1,2.0587076894957
"21",0,"c(1, 0, 0, 1)",50,0.1,7.01790567492959
"22",1,"c(1, 0, 0, 1)",50,0.1,3.09330439018846
"23",3,"c(1, 0, 0, 1)",50,0.1,14.7251454289051
"24",5,"c(1, 0, 0, 1)",50,0.1,6.01452744073154
"25",0,"c(1, 0, 0, 1)",10,0.3,5.8054505013195
"26",1,"c(1, 0, 0, 1)",10,0.3,3.43481345183879
"27",3,"c(1, 0, 0, 1)",10,0.3,2.13909098089465
"28",5,"c(1, 0, 0, 1)",10,0.3,2.97207447812807
"29",0,"c(1, 0, 0, 1)",30,0.3,11.0263024947197
"30",1,"c(1, 0, 0, 1)",30,0.3,1.73010147453952
"31",3,"c(1, 0, 0, 1)",30,0.3,3.15935784693499
"32",5,"c(1, 0, 0, 1)",30,0.3,2.13026586202035
"33",0,"c(1, 0, 0, 1)",50,0.3,5.94861253002307
"34",1,"c(1, 0, 0, 1)",50,0.3,6.17830314089857
"35",3,"c(1, 0, 0, 1)",50,0.3,4.85210529203325
"36",5,"c(1, 0, 0, 1)",50,0.3,9.63127049188672
"37",0,"c(1, 0, 0, 1)",10,1,NA
"38",1,"c(1, 0, 0, 1)",10,1,9.92053143936776
"39",3,"c(1, 0, 0, 1)",10,1,3.45975070969412
"40",5,"c(1, 0, 0, 1)",10,1,6.17595881127995
"41",0,"c(1, 0, 0, 1)",30,1,NA
"42",1,"c(1, 0, 0, 1)",30,1,2.15360953332771
"43",3,"c(1, 0, 0, 1)",30,1,4.26935836134045
"44",5,"c(1, 0, 0, 1)",30,1,6.43688652924928
"45",0,"c(1, 0, 0, 1)",50,1,NA
"46",1,"c(1, 0, 0, 1)",50,1,NA
"47",3,"c(1, 0, 0, 1)",50,1,NA
"48",5,"c(1, 0, 0, 1)",50,1,NA
