"","nburn","const","sigma","mse"
"1",0,1,"c(1, 0, 0, 1)",1.01521768733113
"2",1,1,"c(1, 0, 0, 1)",1.57064416836152
"3",3,1,"c(1, 0, 0, 1)",0.953144401065937
"4",5,1,"c(1, 0, 0, 1)",1.0701465240399
"5",0,4.53999297624849e-05,"c(1, 0, 0, 1)",0.86307415808528
"6",1,4.53999297624849e-05,"c(1, 0, 0, 1)",0.96362007030108
"7",3,4.53999297624849e-05,"c(1, 0, 0, 1)",0.737974485304094
"8",5,4.53999297624849e-05,"c(1, 0, 0, 1)",0.853368101352783
"9",0,3.72007597602084e-44,"c(1, 0, 0, 1)",0.200391898473122
"10",1,3.72007597602084e-44,"c(1, 0, 0, 1)",0.118840192025611
"11",3,3.72007597602084e-44,"c(1, 0, 0, 1)",0.458190621961163
"12",5,3.72007597602084e-44,"c(1, 0, 0, 1)",1.07590221793708
"13",0,7.12457640674129e-218,"c(1, 0, 0, 1)",0.0561304970322453
"14",1,7.12457640674129e-218,"c(1, 0, 0, 1)",0.0285570876647281
"15",3,7.12457640674129e-218,"c(1, 0, 0, 1)",0.0600132866513082
"16",5,7.12457640674129e-218,"c(1, 0, 0, 1)",2.54482209361782
"17",0,0,"c(1, 0, 0, 1)",0.043466615582461
"18",1,0,"c(1, 0, 0, 1)",0.0401832611461376
"19",3,0,"c(1, 0, 0, 1)",0.186853341843724
"20",5,0,"c(1, 0, 0, 1)",0.374531561080487
