"","nburn","sigma","nleaps","epsilon","mse"
"1",1,"c(1, 0, 0, 1)",50,0.01,1.55262400015193
"2",3,"c(1, 0, 0, 1)",50,0.01,1.55586064536621
"3",5,"c(1, 0, 0, 1)",50,0.01,1.5412635261082
"4",1,"c(1, 0, 0, 1)",100,0.01,1.55082712256712
"5",3,"c(1, 0, 0, 1)",100,0.01,1.54968781577939
"6",5,"c(1, 0, 0, 1)",100,0.01,1.55163935704156
"7",1,"c(1, 0, 0, 1)",50,0.1,1.53356856795762
"8",3,"c(1, 0, 0, 1)",50,0.1,1.53261857476744
"9",5,"c(1, 0, 0, 1)",50,0.1,1.54154739153006
"10",1,"c(1, 0, 0, 1)",100,0.1,1.53931226222683
"11",3,"c(1, 0, 0, 1)",100,0.1,1.5478113636554
"12",5,"c(1, 0, 0, 1)",100,0.1,1.54963239698909
"13",1,"c(1, 0, 0, 1)",50,0.5,NA
"14",3,"c(1, 0, 0, 1)",50,0.5,NA
"15",5,"c(1, 0, 0, 1)",50,0.5,NA
"16",1,"c(1, 0, 0, 1)",100,0.5,NA
"17",3,"c(1, 0, 0, 1)",100,0.5,NA
"18",5,"c(1, 0, 0, 1)",100,0.5,NA
