"","nburn","sigma","nleaps","epsilon","mse"
"1",0,"c(1, 0, 0, 1)",5,0.001,0.475311619355625
"2",1,"c(1, 0, 0, 1)",5,0.001,0.386324059712506
"3",3,"c(1, 0, 0, 1)",5,0.001,0.308060556493486
"4",5,"c(1, 0, 0, 1)",5,0.001,0.251831211954701
"5",0,"c(1, 0, 0, 1)",10,0.001,0.0182414283005961
"6",1,"c(1, 0, 0, 1)",10,0.001,0.866961377992866
"7",3,"c(1, 0, 0, 1)",10,0.001,0.514692492412362
"8",5,"c(1, 0, 0, 1)",10,0.001,0.979783085935726
"9",0,"c(1, 0, 0, 1)",30,0.001,0.164014503037646
"10",1,"c(1, 0, 0, 1)",30,0.001,0.766855649814994
"11",3,"c(1, 0, 0, 1)",30,0.001,0.303018610198805
"12",5,"c(1, 0, 0, 1)",30,0.001,0.44128328439551
"13",0,"c(1, 0, 0, 1)",5,0.01,0.633292721970804
"14",1,"c(1, 0, 0, 1)",5,0.01,1.15239935094643
"15",3,"c(1, 0, 0, 1)",5,0.01,0.313709691717881
"16",5,"c(1, 0, 0, 1)",5,0.01,1.35360611698518
"17",0,"c(1, 0, 0, 1)",10,0.01,0.285907517017391
"18",1,"c(1, 0, 0, 1)",10,0.01,0.81843840047113
"19",3,"c(1, 0, 0, 1)",10,0.01,0.528171741267816
"20",5,"c(1, 0, 0, 1)",10,0.01,0.395974571705269
"21",0,"c(1, 0, 0, 1)",30,0.01,0.17360738806782
"22",1,"c(1, 0, 0, 1)",30,0.01,0.509587050363675
"23",3,"c(1, 0, 0, 1)",30,0.01,0.428144621168544
"24",5,"c(1, 0, 0, 1)",30,0.01,0.502704797037449
"25",0,"c(1, 0, 0, 1)",5,0.1,0.194409827048602
"26",1,"c(1, 0, 0, 1)",5,0.1,0.169264493205529
"27",3,"c(1, 0, 0, 1)",5,0.1,0.290476646741807
"28",5,"c(1, 0, 0, 1)",5,0.1,0.119649478356892
"29",0,"c(1, 0, 0, 1)",10,0.1,0.0832466903104197
"30",1,"c(1, 0, 0, 1)",10,0.1,0.143356608004098
"31",3,"c(1, 0, 0, 1)",10,0.1,0.0659816110751263
"32",5,"c(1, 0, 0, 1)",10,0.1,0.341958824583721
"33",0,"c(1, 0, 0, 1)",30,0.1,0.0229869176128809
"34",1,"c(1, 0, 0, 1)",30,0.1,0.00960927364196292
"35",3,"c(1, 0, 0, 1)",30,0.1,0.0162828268925678
"36",5,"c(1, 0, 0, 1)",30,0.1,0.0447900337279612
"37",0,"c(1, 0, 0, 1)",5,1,0.0498843511926299
"38",1,"c(1, 0, 0, 1)",5,1,0.0585548717080818
"39",3,"c(1, 0, 0, 1)",5,1,0.0268754344210574
"40",5,"c(1, 0, 0, 1)",5,1,0.215849476264567
"41",0,"c(1, 0, 0, 1)",10,1,0.109936263989975
"42",1,"c(1, 0, 0, 1)",10,1,0.0446724337320649
"43",3,"c(1, 0, 0, 1)",10,1,0.12917855925747
"44",5,"c(1, 0, 0, 1)",10,1,0.0817632745717331
"45",0,"c(1, 0, 0, 1)",30,1,0.0739625982140983
"46",1,"c(1, 0, 0, 1)",30,1,0.906961454702318
"47",3,"c(1, 0, 0, 1)",30,1,0.975801058730876
"48",5,"c(1, 0, 0, 1)",30,1,0.239913632503499
