"","nburn","const","sigma","mse"
"1",0,1,"c(1, 0, 0, 1)",0.0329982977709904
"2",1,1,"c(1, 0, 0, 1)",0.0369184481230777
"3",3,1,"c(1, 0, 0, 1)",0.02173835689725
"4",5,1,"c(1, 0, 0, 1)",0.0131530029980149
"5",0,4.53999297624849e-05,"c(1, 0, 0, 1)",0.117634378913264
"6",1,4.53999297624849e-05,"c(1, 0, 0, 1)",0.0477257193740836
"7",3,4.53999297624849e-05,"c(1, 0, 0, 1)",0.0260671127679292
"8",5,4.53999297624849e-05,"c(1, 0, 0, 1)",0.0283448385684032
"9",0,3.72007597602084e-44,"c(1, 0, 0, 1)",0.109223660224123
"10",1,3.72007597602084e-44,"c(1, 0, 0, 1)",0.0308269723972437
"11",3,3.72007597602084e-44,"c(1, 0, 0, 1)",0.0740724018922731
"12",5,3.72007597602084e-44,"c(1, 0, 0, 1)",0.213205520115684
"13",0,7.12457640674129e-218,"c(1, 0, 0, 1)",0.059716957702068
"14",1,7.12457640674129e-218,"c(1, 0, 0, 1)",0.0168434812193058
"15",3,7.12457640674129e-218,"c(1, 0, 0, 1)",0.187429170959231
"16",5,7.12457640674129e-218,"c(1, 0, 0, 1)",0.0712048821307302
"17",0,0,"c(1, 0, 0, 1)",0.230149193496069
"18",1,0,"c(1, 0, 0, 1)",0.0223039610218745
"19",3,0,"c(1, 0, 0, 1)",0.0699396499882518
"20",5,0,"c(1, 0, 0, 1)",0.324450029045317
