"","alg","tune","var","lag","val","sd"
"1","HMC","~tuned","x1",10,0.246216443055821,0.182756664746361
"2","MHS","~tuned","x1",10,0.923553212789474,0.0436358168147638
"3","RS","~tuned","x1",10,-0.0201853455634474,0.162596187516129
"4","HMC","tuned","x1",10,0.956948997732769,0.0348679163034061
"5","MHS","tuned","x1",10,0.573705298548643,0.188114636075025
"6","RS","tuned","x1",10,-0.00235350839627596,0.0340318011123229
"7","HMC","~tuned","x2",10,0.311498480795774,0.231475775911725
"8","MHS","~tuned","x2",10,0.88163448680765,0.105469368845865
"9","RS","~tuned","x2",10,0.0162759715012451,0.15072860613597
"10","HMC","tuned","x2",10,0.828937984415807,0.104704734554376
"11","MHS","tuned","x2",10,0.596288579054104,0.169937038279539
"12","RS","tuned","x2",10,0.000188191084277494,0.0403938534316901
"13","HMC","~tuned","x1",20,0.0128144367333331,0.0963806626700956
"14","MHS","~tuned","x1",20,0.803392115864922,0.0608942466747908
"15","RS","~tuned","x1",20,-0.0205180090975627,0.124981894137247
"16","HMC","tuned","x1",20,0.880759530537926,0.0720667763809713
"17","MHS","tuned","x1",20,0.236660764789514,0.121066381072685
"18","RS","tuned","x1",20,0.00524998178962059,0.0351874554712153
"19","HMC","~tuned","x2",20,0.0356236334890692,0.106496535217429
"20","MHS","~tuned","x2",20,0.727198339758854,0.204875532218787
"21","RS","~tuned","x2",20,-0.0430501190747397,0.100640511093526
"22","HMC","tuned","x2",20,0.606671418666258,0.105163036107094
"23","MHS","tuned","x2",20,0.231294797764655,0.128551865593659
"24","RS","tuned","x2",20,-0.0061649823493949,0.0335114208553592
"25","HMC","~tuned","x1",30,0.00444789203842933,0.0479337634285597
"26","MHS","~tuned","x1",30,0.723832867328767,0.0591447359274059
"27","RS","~tuned","x1",30,0.00155598905160552,0.109712261754956
"28","HMC","tuned","x1",30,0.808393195366317,0.110028351842968
"29","MHS","tuned","x1",30,0.0908709799669218,0.114299089796056
"30","RS","tuned","x1",30,-0.000975185803044717,0.0326499547983249
"31","HMC","~tuned","x2",30,0.0168324256121874,0.0772010571960381
"32","MHS","~tuned","x2",30,0.651934572059826,0.214328691891715
"33","RS","~tuned","x2",30,-0.000346661544720826,0.084634135979502
"34","HMC","tuned","x2",30,0.45670229025548,0.112884509715618
"35","MHS","tuned","x2",30,0.100732057827006,0.113983316871027
"36","RS","tuned","x2",30,-0.00485787170164429,0.030808835987607
"37","HMC","~tuned","x1",40,0.00406956408879267,0.0491951712442506
"38","MHS","~tuned","x1",40,0.654439153814977,0.0535231682458707
"39","RS","~tuned","x1",40,-0.0047796049540229,0.0786235786774213
"40","HMC","tuned","x1",40,0.737148177502611,0.144622726204784
"41","MHS","tuned","x1",40,0.0558379719758466,0.099264519188508
"42","RS","tuned","x1",40,-0.00311356193445342,0.0267579586713794
"43","HMC","~tuned","x2",40,0.000329345163215133,0.0492781341385658
"44","MHS","~tuned","x2",40,0.59320191198612,0.204275287563219
"45","RS","~tuned","x2",40,0.0272428669877465,0.0833479850705192
"46","HMC","tuned","x2",40,0.350337838330017,0.143859948781937
"47","MHS","tuned","x2",40,0.0904488255048841,0.099977987874934
"48","RS","tuned","x2",40,-0.00747500974468908,0.0220973218827978
"49","HMC","~tuned","x1",50,-0.0563965339311732,0.0425657661059978
"50","MHS","~tuned","x1",50,0.577481443142549,0.0431096084659817
"51","RS","~tuned","x1",50,-0.00799873136064739,0.0694627436800129
"52","HMC","tuned","x1",50,0.667417029321115,0.176280197378601
"53","MHS","tuned","x1",50,0.0153801704064519,0.0848829722857467
"54","RS","tuned","x1",50,0.00159433801648275,0.0275323637372667
"55","HMC","~tuned","x2",50,0.0239102979732763,0.0445628388746778
"56","MHS","~tuned","x2",50,0.54116357684633,0.198653126595053
"57","RS","~tuned","x2",50,-0.00563188716266067,0.0713936722079406
"58","HMC","tuned","x2",50,0.25563196789932,0.175583580052945
"59","MHS","tuned","x2",50,0.0367189437838298,0.0997173788808723
"60","RS","tuned","x2",50,-0.00125482006615883,0.0315827065390115
"61","HMC","~tuned","x1",60,-0.0133493681550761,0.0439901591629156
"62","MHS","~tuned","x1",60,0.499469197228996,0.033270494699837
"63","RS","~tuned","x1",60,0.00264378020312654,0.061846863052667
"64","HMC","tuned","x1",60,0.605123835132846,0.201837064466748
"65","MHS","tuned","x1",60,-0.0146318140260941,0.134466678075232
"66","RS","tuned","x1",60,-0.0031171649110528,0.0341376217353058
"67","HMC","~tuned","x2",60,0.0369049636562614,0.071003706883453
"68","MHS","~tuned","x2",60,0.49348411582186,0.196951653988745
"69","RS","~tuned","x2",60,0.000708935069108782,0.0630780083398203
"70","HMC","tuned","x2",60,0.201630093441341,0.202606444981803
"71","MHS","tuned","x2",60,-0.035013248819033,0.11839017323373
"72","RS","tuned","x2",60,0.00108158754124184,0.0314487102052402
"73","HMC","~tuned","x1",70,0.00433926005851907,0.0345629699042676
"74","MHS","~tuned","x1",70,0.423206254741406,0.0332405812011462
"75","RS","~tuned","x1",70,-0.000866889299731917,0.0513613663078701
"76","HMC","tuned","x1",70,0.556370032992849,0.214746998843115
"77","MHS","tuned","x1",70,-0.0154269284122287,0.159258643104825
"78","RS","tuned","x1",70,-0.0100213463559213,0.0365021956468348
"79","HMC","~tuned","x2",70,-0.00704625031866975,0.0508872148539324
"80","MHS","~tuned","x2",70,0.439120130576169,0.18948248308002
"81","RS","~tuned","x2",70,-0.00587781590950141,0.0564205036672241
"82","HMC","tuned","x2",70,0.180766535018386,0.214457430356465
"83","MHS","tuned","x2",70,-0.0428926807556296,0.136650332883432
"84","RS","tuned","x2",70,-0.00193219638397479,0.0312275896143513
"85","HMC","~tuned","x1",80,-0.0149738550595102,0.0423089272172312
"86","MHS","~tuned","x1",80,0.349906522946817,0.0358898178832507
"87","RS","~tuned","x1",80,0.0126529641007601,0.0450316554874281
"88","HMC","tuned","x1",80,0.515465845207479,0.220535097817869
"89","MHS","tuned","x1",80,0.00732329593667404,0.123028502529491
"90","RS","tuned","x1",80,0.000370136811043828,0.0312404429338728
"91","HMC","~tuned","x2",80,-0.021655568332582,0.0424759668633505
"92","MHS","~tuned","x2",80,0.384212431988705,0.18160171700998
"93","RS","~tuned","x2",80,-0.00799607165756202,0.0531378047141804
"94","HMC","tuned","x2",80,0.182521707014534,0.209126164575143
"95","MHS","tuned","x2",80,-0.0614419054946184,0.130070066762753
"96","RS","tuned","x2",80,0.00292636726149411,0.0260394590783488
"97","HMC","~tuned","x1",90,-0.0280751387470405,0.0592817615264092
"98","MHS","~tuned","x1",90,0.286685247826253,0.0340146695291717
"99","RS","~tuned","x1",90,-0.00566614919543702,0.041053568983042
"100","HMC","tuned","x1",90,0.478595271965547,0.225115275315858
"101","MHS","tuned","x1",90,0.0200993861038208,0.0524586781160871
"102","RS","tuned","x1",90,0.000843181961381777,0.0315371754068031
"103","HMC","~tuned","x2",90,0.00447461954605421,0.0482901288537335
"104","MHS","~tuned","x2",90,0.330369892733105,0.174265682400222
"105","RS","~tuned","x2",90,0.00318411392638924,0.0351390533743331
"106","HMC","tuned","x2",90,0.193927727936743,0.189300299741636
