"","alg","tune","var","lag","val","sd"
"1","HMC","~tuned","x1",10,0.267804896822793,0.215199612290287
"2","MHS","~tuned","x1",10,0.541183784779561,0.285224791896396
"3","RS","~tuned","x1",10,0.0230806928221898,0.143354228513166
"4","HMC","tuned","x1",10,0.248931630742809,0.174475537416884
"5","MHS","tuned","x1",10,0.633508770862623,0.349749202369746
"6","RS","tuned","x1",10,-0.00555608791155929,0.0319862509811293
"7","HMC","~tuned","x2",10,0.276165948194153,0.164764428200111
"8","MHS","~tuned","x2",10,0.562879411789852,0.304883438120428
"9","RS","~tuned","x2",10,-0.00743440247479619,0.166694282593634
"10","HMC","tuned","x2",10,0.293462533574309,0.20398884361822
"11","MHS","tuned","x2",10,0.53026353215617,0.296865035690301
"12","RS","tuned","x2",10,0.0092433343208104,0.0354995238738299
"13","HMC","~tuned","x1",20,0.0680863215563642,0.134660781537987
"14","MHS","~tuned","x1",20,0.415280608494008,0.264691795834421
"15","RS","~tuned","x1",20,0.0112287437261489,0.160518727859854
"16","HMC","tuned","x1",20,0.0565339326398242,0.0435091310021731
"17","MHS","tuned","x1",20,0.277921593081088,0.35789349193596
"18","RS","tuned","x1",20,0.0126604729007783,0.0339592543431126
"19","HMC","~tuned","x2",20,0.0926392756082174,0.0913183886044592
"20","MHS","~tuned","x2",20,0.477412719146341,0.273397072569624
"21","RS","~tuned","x2",20,0.0051207687511282,0.113564274089787
"22","HMC","tuned","x2",20,0.0744434988962969,0.102575714354844
"23","MHS","tuned","x2",20,0.362403928523555,0.271153550927822
"24","RS","tuned","x2",20,-9.03415416294289e-05,0.0390281180938419
"25","HMC","~tuned","x1",30,0.0250940270558463,0.062646802624634
"26","MHS","~tuned","x1",30,0.349872675961543,0.251433922938113
"27","RS","~tuned","x1",30,0.00721333063077449,0.106167287895444
"28","HMC","tuned","x1",30,0.0120550531622962,0.0213175930028757
"29","MHS","tuned","x1",30,0.19956937021139,0.219067972017315
"30","RS","tuned","x1",30,-0.00186769495705377,0.0339088355507475
