"","alg","tune","var","lag","val","sd"
"1","HMC","~tuned","x1",10,0.0691148005108482,0.125600972666319
"2","MHS","~tuned","x1",10,0.906853420471097,0.0669765665365972
"3","HMC","tuned","x1",10,0.139119988859353,0.171194336327202
"4","MHS","tuned","x1",10,0.883326028677474,0.0730961769305847
"5","HMC","~tuned","x10",10,0.0526528051672325,0.0886318496481857
"6","MHS","~tuned","x10",10,0.866152338259542,0.110344144134137
"7","HMC","tuned","x10",10,0.0693677240029201,0.468865869585372
"8","MHS","tuned","x10",10,0.91829552867606,0.0407915771507845
"9","HMC","~tuned","x11",10,0.191364501818603,0.115082018289848
"10","MHS","~tuned","x11",10,0.834138222309179,0.2296601822353
"11","HMC","tuned","x11",10,0.0747518758082397,0.210219072929585
"12","MHS","tuned","x11",10,0.890679295751646,0.0742919601654603
"13","HMC","~tuned","x2",10,0.0621977179191597,0.0971617149964936
"14","MHS","~tuned","x2",10,0.919207753930205,0.0530686543458174
"15","HMC","tuned","x2",10,0.110336803433704,0.189171205368598
"16","MHS","tuned","x2",10,0.850230974491357,0.16511110736707
"17","HMC","~tuned","x3",10,0.0508410226841082,0.081283742390595
"18","MHS","~tuned","x3",10,0.918959303108323,0.0576734964504712
"19","HMC","tuned","x3",10,0.0559167413132805,0.498927113435208
"20","MHS","tuned","x3",10,0.906550885887344,0.0897169643236471
"21","HMC","~tuned","x4",10,0.0321993643597744,0.10061223478622
"22","MHS","~tuned","x4",10,0.904807489265906,0.0617408385200412
"23","HMC","tuned","x4",10,0.0791348080379519,0.26335651458692
"24","MHS","tuned","x4",10,0.897014754895001,0.0758691741380541
"25","HMC","~tuned","x5",10,0.207963647636252,0.140866697860287
"26","MHS","~tuned","x5",10,0.818122239883546,0.139493402874817
"27","HMC","tuned","x5",10,0.0342210467647219,0.301441929815762
"28","MHS","tuned","x5",10,0.931212499295246,0.0634691140876561
"29","HMC","~tuned","x6",10,0.0543003339520314,0.118399462481249
"30","MHS","~tuned","x6",10,0.897811378755904,0.0750307143697994
"31","HMC","tuned","x6",10,0.106543520556097,0.176897606292593
"32","MHS","tuned","x6",10,0.946557083735549,0.0295090591049643
"33","HMC","~tuned","x7",10,0.0543214137871754,0.11391502238419
"34","MHS","~tuned","x7",10,0.775351987263274,0.284341818243131
"35","HMC","tuned","x7",10,0.0963173457924105,0.264899063744764
"36","MHS","tuned","x7",10,0.936597481509495,0.042824654724938
