"","alg","tune","var","lag","val","sd"
"1","HMC","~tuned","x1",10,0.0765480390962779,0.0899420586818615
"2","MHS","~tuned","x1",10,0.0764099592650913,0.115206594647936
"3","RS","~tuned","x1",10,0.001951884043078,0.0465996367624405
"4","HMC","tuned","x1",10,-0.00808484857530664,0.164508425920686
"5","MHS","tuned","x1",10,0.0580422956362859,0.122959993703078
"6","RS","tuned","x1",10,-0.0113628209432078,0.0679913899651916
"7","HMC","~tuned","x2",10,0.092916846960097,0.101911064896548
"8","MHS","~tuned","x2",10,0.0540413632194244,0.107900934432504
"9","RS","~tuned","x2",10,0.00542349066872791,0.0466484064133128
"10","HMC","tuned","x2",10,-0.00652739286402769,0.144411231741552
"11","MHS","tuned","x2",10,0.0730642307025519,0.110692955132139
"12","RS","tuned","x2",10,-0.00697165478267959,0.0750946380834529
"13","HMC","~tuned","x1",20,0.0159160886669271,0.0347409114714527
"14","MHS","~tuned","x1",20,-0.0215710492502462,0.0422184655804859
"15","RS","~tuned","x1",20,0.00287639605269476,0.0455489925505088
"16","HMC","tuned","x1",20,-0.00231344236538739,0.0366803420246508
"17","MHS","tuned","x1",20,-0.00973602733267295,0.043413423855024
"18","RS","tuned","x1",20,-0.000705930254436166,0.0638327533610935
"19","HMC","~tuned","x2",20,0.009565787430628,0.0346534605050066
"20","MHS","~tuned","x2",20,-0.00674689196102967,0.042892034443075
"21","RS","~tuned","x2",20,-0.00148145598162503,0.0500793119819857
"22","HMC","tuned","x2",20,-0.0051845597357098,0.0341577141191415
"23","MHS","tuned","x2",20,0.00102533985639692,0.0426484478071387
"24","RS","tuned","x2",20,-0.00175509780768151,0.0582933844722474
"25","HMC","~tuned","x1",30,0.000121466091977946,0.0368278211774351
"26","MHS","~tuned","x1",30,0.00770559916781514,0.028765190618056
"27","RS","~tuned","x1",30,0.00156501775470043,0.0497427633317207
"28","HMC","tuned","x1",30,0.00379624360063628,0.0450798512979948
"29","MHS","tuned","x1",30,0.0147930909730635,0.0294806885567842
"30","RS","tuned","x1",30,0.00347386045574574,0.0593182894954526
"31","HMC","~tuned","x2",30,0.00090468980723446,0.0371563126503786
"32","MHS","~tuned","x2",30,-0.00908358301347807,0.0317144356443176
"33","RS","~tuned","x2",30,0.00656922388234861,0.0420211265344019
"34","HMC","tuned","x2",30,-0.00195141299636506,0.0336122592744399
"35","MHS","tuned","x2",30,-0.0127245351768851,0.0285404929721782
"36","RS","tuned","x2",30,-0.00140958242337266,0.046029820763543
"37","HMC","~tuned","x1",40,0.00716948790556171,0.0353098411485986
"38","MHS","~tuned","x1",40,-0.00160937507371141,0.0336312121016935
"39","RS","~tuned","x1",40,-0.00754735627099961,0.0430822196524557
"40","HMC","tuned","x1",40,-0.00722323650899142,0.0393512390167989
"41","MHS","tuned","x1",40,0.0112805742660408,0.0328246830350786
"42","RS","tuned","x1",40,0.00769082805542868,0.0518956723525087
"43","HMC","~tuned","x2",40,-0.0193384908843105,0.0338248158685683
"44","MHS","~tuned","x2",40,0.00670350099417281,0.0468040247983702
"45","RS","~tuned","x2",40,0.00138851519765485,0.0489305169734733
"46","HMC","tuned","x2",40,-0.00520467518644396,0.0329617134048379
"47","MHS","tuned","x2",40,-0.00264767612372656,0.0427929834163906
"48","RS","tuned","x2",40,-0.00344178453744181,0.0516386909333215
"49","HMC","~tuned","x1",50,-0.00324251534727902,0.0309182165295954
"50","MHS","~tuned","x1",50,-0.0121348438558571,0.0383979520279579
"51","RS","~tuned","x1",50,-0.00301691425471969,0.0479835139904512
"52","HMC","tuned","x1",50,-0.00302449043557283,0.025921107600838
"53","MHS","tuned","x1",50,-0.00808819813571685,0.0401004914435345
"54","RS","tuned","x1",50,-0.00235461743777323,0.0527060084231996
"55","HMC","~tuned","x2",50,-0.00623110452137844,0.0378066725348624
"56","MHS","~tuned","x2",50,-0.00126610037555246,0.0331664529986008
"57","RS","~tuned","x2",50,0.00479461315708605,0.0502024204580957
"58","HMC","tuned","x2",50,0.00362891640830401,0.0336060073850952
"59","MHS","tuned","x2",50,0.00141187290578105,0.0363775067877632
"60","RS","tuned","x2",50,0.00052958103373469,0.0528397714474262
"61","HMC","~tuned","x1",60,0.00331955944087448,0.0307481605358331
"62","MHS","~tuned","x1",60,-0.00438047529436731,0.0315358147342309
"63","RS","~tuned","x1",60,0.0039394872974559,0.0438541154908776
"64","HMC","tuned","x1",60,0.00213117842749387,0.0280693071631513
"65","MHS","tuned","x1",60,0.00152203771390305,0.0312553675017034
"66","RS","tuned","x1",60,-0.00556117998839455,0.0490855287643843
"67","HMC","~tuned","x2",60,-8.29206069163112e-06,0.0376947580693391
