"","alg","tune","var","lag","val","sd"
"1","HMC",TRUE,"x1",10,0.237430412735531,0.396605667449663
"2","MHS",TRUE,"x1",10,0.0734228346886831,0.111780170494599
"3","RS",TRUE,"x1",10,0.00426304970459349,0.0493131615115225
"4","HMC",TRUE,"x2",10,0.306368761273576,0.416960796702314
"5","MHS",TRUE,"x2",10,0.0618357140291859,0.121520500840355
"6","RS",TRUE,"x2",10,0.0011669313376684,0.0409445679173387
"7","HMC",TRUE,"x1",20,0.159235736806047,0.333811699581922
"8","MHS",TRUE,"x1",20,-0.0015397043703314,0.0318968456649906
"9","RS",TRUE,"x1",20,-0.00611576567903416,0.0483072550338849
"10","HMC",TRUE,"x2",20,0.11863516413797,0.279086821633168
"11","MHS",TRUE,"x2",20,-0.0162915040636181,0.0273377746186734
"12","RS",TRUE,"x2",20,0.00417283579180963,0.0432392548424649
"13","HMC",TRUE,"x1",30,0.144217540723049,0.307239246458252
"14","MHS",TRUE,"x1",30,-0.00587116266400849,0.0322397002849008
"15","RS",TRUE,"x1",30,-0.0107124509093512,0.048380185800255
"16","HMC",TRUE,"x2",30,0.0546629305804272,0.206244099904593
"17","MHS",TRUE,"x2",30,0.00657347549085754,0.0351734320322445
"18","RS",TRUE,"x2",30,-0.00760315044528694,0.0395705137401983
"19","HMC",TRUE,"x1",40,0.136505218778152,0.284977570006696
"20","MHS",TRUE,"x1",40,-0.00426516669352564,0.0380838783631045
"21","RS",TRUE,"x1",40,0.00399840548953554,0.042681230862167
"22","HMC",TRUE,"x2",40,0.0321688932926192,0.152136268065262
"23","MHS",TRUE,"x2",40,0.00409375502729379,0.036801545810415
"24","RS",TRUE,"x2",40,-0.000996960570581156,0.0425130605776775
"25","HMC",TRUE,"x1",50,0.116652301953527,0.266166409669911
"26","MHS",TRUE,"x1",50,-0.00671275806962073,0.0434906473469235
"27","RS",TRUE,"x1",50,0.00352750085233458,0.0477425402908854
"28","HMC",TRUE,"x2",50,0.0165609300728545,0.123129784811734
"29","MHS",TRUE,"x2",50,0.0101194933328882,0.0425643081494291
"30","RS",TRUE,"x2",50,-0.00850507299746672,0.0438314569639769
"31","HMC",TRUE,"x1",60,0.13022123185947,0.239769363817482
"32","MHS",TRUE,"x1",60,-0.00224660467092222,0.0251460325129172
"33","RS",TRUE,"x1",60,-0.0124808343880706,0.0350169016198792
"34","HMC",TRUE,"x2",60,0.0192682400308864,0.105364594777144
"35","MHS",TRUE,"x2",60,0.00213653200153814,0.0339484407863181
"36","RS",TRUE,"x2",60,0.00355333335071345,0.0443764392939025
"37","HMC",TRUE,"x1",70,0.11243290941972,0.227294416324647
"38","MHS",TRUE,"x1",70,-0.00339381949781035,0.0381490440598626
"39","RS",TRUE,"x1",70,-0.000327178167709423,0.0391287476753229
"40","HMC",TRUE,"x2",70,0.0160130177448763,0.0912108244953956
"41","MHS",TRUE,"x2",70,0.00721203598156465,0.0362911152971016
"42","RS",TRUE,"x2",70,0.0113843975765823,0.0394204944822086
"43","HMC",TRUE,"x1",80,0.105320380914863,0.206121190195116
"44","MHS",TRUE,"x1",80,0.011312056594556,0.0285338486974019
"45","RS",TRUE,"x1",80,0.00914690763682518,0.0398731083331264
"46","HMC",TRUE,"x2",80,0.00293187085639818,0.0943106814452406
"47","MHS",TRUE,"x2",80,0.000999746237833891,0.0294231965816137
"48","RS",TRUE,"x2",80,0.006773528123019,0.0353852106997282
"49","HMC",TRUE,"x1",90,0.090729294905984,0.186702628915429
"50","MHS",TRUE,"x1",90,-0.00694136543926886,0.0307168258673032
"51","RS",TRUE,"x1",90,-0.00342774593640008,0.0407412331803412
"52","HMC",TRUE,"x2",90,0.00911025815800308,0.0952741954482035
"53","MHS",TRUE,"x2",90,0.00700684249139283,0.0315321010099116
"54","RS",TRUE,"x2",90,-0.00387007306153016,0.0407265739033746
"55","HMC",TRUE,"x1",100,0.07595535685208,0.173158422228139
"56","MHS",TRUE,"x1",100,-0.00999801508004032,0.0212270954660392
"57","RS",TRUE,"x1",100,-0.00666528560876553,0.0391235789513362
"58","HMC",TRUE,"x2",100,0.000233695621532248,0.0679049118977576
"59","MHS",TRUE,"x2",100,-0.00975980535512987,0.0301150087570992
"60","RS",TRUE,"x2",100,-0.00556180630402866,0.0328986105639933
