"","alg","run","iter","tune","param","d"
"1","HMC",1,1,"tuned","x1",0.485139406978057
"2","HMC",1,1,"tuned","x2",0.577823691388439
"3","HMC",1,2,"tuned","x1",0.485139406978057
"4","HMC",1,2,"tuned","x2",0.577823691388439
"5","HMC",1,3,"tuned","x1",0.485139406978057
"6","HMC",1,3,"tuned","x2",0.577823691388439
"7","HMC",1,4,"tuned","x1",1.14568509433426
"8","HMC",1,4,"tuned","x2",1.203892777698
"9","HMC",1,5,"tuned","x1",1.37177590793922
"10","HMC",1,5,"tuned","x2",1.55301742054325
"11","HMC",1,6,"tuned","x1",1.00950346022549
"12","HMC",1,6,"tuned","x2",0.613600829072138
"13","HMC",1,7,"tuned","x1",-1.39213045228823
"14","HMC",1,7,"tuned","x2",0.621139812242051
"15","HMC",1,8,"tuned","x1",-0.223383813876449
"16","HMC",1,8,"tuned","x2",1.3526398456193
"17","HMC",1,9,"tuned","x1",-1.18040674959828
"18","HMC",1,9,"tuned","x2",1.20201638221191
"19","HMC",1,10,"tuned","x1",-2.81142516009459
"20","HMC",1,10,"tuned","x2",0.969797245112021
"21","HMC",1,11,"tuned","x1",-2.81011510542571
"22","HMC",1,11,"tuned","x2",1.7188963184005
"23","HMC",1,12,"tuned","x1",-2.34558926229887
"24","HMC",1,12,"tuned","x2",1.61088121142052
"25","HMC",1,13,"tuned","x1",-1.1166466563847
"26","HMC",1,13,"tuned","x2",1.31163927070967
"27","HMC",1,14,"tuned","x1",-0.436456605968062
"28","HMC",1,14,"tuned","x2",1.28292332152568
"29","HMC",1,15,"tuned","x1",-0.431634280995666
"30","HMC",1,15,"tuned","x2",0.843124197154045
"31","HMC",1,16,"tuned","x1",-0.431634280995666
"32","HMC",1,16,"tuned","x2",0.843124197154045
"33","HMC",1,17,"tuned","x1",-0.431634280995666
"34","HMC",1,17,"tuned","x2",0.843124197154045
"35","HMC",1,18,"tuned","x1",-0.431634280995666
"36","HMC",1,18,"tuned","x2",0.843124197154045
"37","HMC",1,19,"tuned","x1",1.33770446581481
"38","HMC",1,19,"tuned","x2",1.19328385463948
"39","HMC",1,20,"tuned","x1",2.04024817944196
"40","HMC",1,20,"tuned","x2",1.00434847688308
"41","HMC",1,21,"tuned","x1",2.04024817944196
"42","HMC",1,21,"tuned","x2",1.00434847688308
"43","HMC",1,22,"tuned","x1",2.04024817944196
"44","HMC",1,22,"tuned","x2",1.00434847688308
"45","HMC",1,23,"tuned","x1",2.53036963075007
"46","HMC",1,23,"tuned","x2",0.704752373700914
"47","HMC",1,24,"tuned","x1",1.51852924183729
"48","HMC",1,24,"tuned","x2",0.744537128206785
"49","HMC",1,25,"tuned","x1",0.192693466703012
"50","HMC",1,25,"tuned","x2",-0.220209784485929
"51","HMC",1,26,"tuned","x1",0.857597982146928
"52","HMC",1,26,"tuned","x2",-0.0394580225658088
"53","HMC",1,27,"tuned","x1",-0.350094142054713
"54","HMC",1,27,"tuned","x2",-0.320740287207158
"55","HMC",1,28,"tuned","x1",1.37681774446483
"56","HMC",1,28,"tuned","x2",-0.439447603773736
"57","HMC",1,29,"tuned","x1",1.16829497826578
"58","HMC",1,29,"tuned","x2",-1.030022525928
"59","HMC",1,30,"tuned","x1",1.24940218998308
"60","HMC",1,30,"tuned","x2",-1.63875930718939
"61","HMC",1,31,"tuned","x1",-0.0435193310635595
